HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err
2457972.77794,2017-08-07.2797488,bb,1.72,13.671,8.141,0.005,2126.038,10.007
2457972.77921,2017-08-07.2810130,bb,1.63,13.662,8.060,0.005,2290.656,10.003
2457972.78048,2017-08-07.2822864,bb,1.73,13.708,8.113,0.005,2181.515,10.210
2457973.77801,2017-08-08.2798353,bb,1.61,13.514,8.001,0.006,2417.609,14.034
2457973.77927,2017-08-08.2811016,bb,1.91,13.430,8.060,0.007,2291.293,14.757
2457973.78055,2017-08-08.2823806,bb,1.74,13.532,8.072,0.009,2265.153,19.219
2457974.77351,2017-08-09.2753562,bb,1.67,13.685,7.980,0.004,2465.735,9.623
2457974.77478,2017-08-09.2766225,bb,1.68,13.727,8.068,0.004,2274.143,7.830
2457974.77605,2017-08-09.2778883,bb,1.77,13.753,8.116,0.005,2175.212,10.248
2457977.75375,2017-08-12.2556295,bb,1.72,13.712,8.019,0.004,2377.788,9.459
2457977.75501,2017-08-12.2568930,bb,1.75,13.719,8.033,0.004,2348.773,8.719
2457977.75628,2017-08-12.2581578,bb,1.81,13.687,7.973,0.004,2480.481,9.281
2457981.75023,2017-08-16.2521637,bb,1.77,13.718,8.041,0.004,2331.466,9.001
2457981.75149,2017-08-16.2534268,bb,1.74,13.668,7.935,0.004,2569.239,9.372
2457981.75278,2017-08-16.2547129,bb,1.74,13.676,7.952,0.004,2527.967,8.980
2457985.74492,2017-08-20.2468923,bb,1.75,13.719,8.024,0.003,2366.762,7.677
2457985.74619,2017-08-20.2481671,bb,1.68,13.717,8.020,0.004,2376.863,8.495
2457985.74747,2017-08-20.2494398,bb,1.82,13.740,8.063,0.004,2284.763,7.879
2457990.72921,2017-08-25.2312222,bb,1.74,13.723,8.081,0.005,2245.737,10.511
2457990.73049,2017-08-25.2325002,bb,1.76,13.706,8.031,0.005,2351.907,10.683
2457990.73175,2017-08-25.2337663,bb,1.81,13.703,8.029,0.004,2357.039,9.652
2458159.02766,2018-02-09.5258266,bb,2.15,13.626,7.960,0.004,2510.799,8.353
2458159.02893,2018-02-09.5270922,bb,2.18,13.627,7.963,0.004,2504.968,9.400
2458159.03022,2018-02-09.5283769,bb,2.16,13.620,7.940,0.003,2557.005,8.324
2458162.04818,2018-02-12.5462952,bb,1.68,13.680,7.975,0.004,2477.622,8.918
2458162.04945,2018-02-12.5475716,bb,1.70,13.671,7.958,0.004,2514.489,9.170
2458162.05072,2018-02-12.5488377,bb,1.68,13.654,7.923,0.004,2598.729,9.634
